Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
ko05226,-0.9999999999999994,-1.3064918851435705,0.0,0.2521387672617043,108,1,K08734,K08734
ko05210,-0.9999999999999994,-1.2901971674534851,0.0,0.2922420568092512,72,1,K08734,K08734
ko03460,-0.9999999999999994,-1.3080568720379147,0.0,0.3055742674301112,54,1,K08734,K08734
ko03430,-0.9999999999999994,-1.2514200298953662,0.0,0.32957224654765915,44,1,K08734,K08734
ko00770,-0.8000000000000002,-1.2597986857334755,0.21978021978021978,0.3528845691189915,44,2,K01918;K01579,K01918;K01579
ko05213,-0.9999999999999994,-1.3212192262602578,0.0,0.3647692825867296,45,1,K08734,K08734
ko05200,-0.9999999999999994,-1.3503509891512444,0.0,0.38396766588076797,417,1,K08734,K08734
ko00430,-0.9347826086956517,-1.2208201892744481,0.13131313131313133,0.38823397327944315,23,1,K15372,K15372
ko00410,-0.8181818181818178,-1.4555300730989318,0.15853658536585366,0.5759514988211519,44,3,K01918;K01579;K15372,K01918;K01579;K15372
ko00480,-0.8260869565217387,-1.113965744400527,0.30337078651685395,0.6175479959582352,56,1,K01270,K01270
ko00270,-0.8043478260869561,-1.0426985482493596,0.43434343434343436,0.7196484889310757,119,1,K00640,K00640
ko00920,-0.5227272727272726,-0.9642320526477318,0.46511627906976744,0.8500617491860336,109,3,K00957;K00956;K00640,K00957;K00956;K00640
ko00450,-0.5111111111111108,-0.7910876059489946,0.7294117647058823,0.8868900204069503,33,2,K00957;K00956,K00957;K00956
ko00670,-0.543478260869565,-0.7246376811594203,0.8983050847457628,0.8905355338497811,40,1,K11175,K11175
ko00261,-0.5111111111111108,-0.8220284200701735,0.6233766233766234,0.8955245874031661,28,2,K00957;K00956,K00957;K00956
ko00740,-0.6739130434782605,-0.9145827479629108,0.6,0.8964168199601005,49,1,K00794,K00794
ko00730,-0.5652173913043476,-0.7472965281730223,0.8811881188118812,0.9065903222184799,36,1,K00788,K00788
ko00564,-0.6521739130434779,-0.8636836628511968,0.7108433734939759,0.9311215897608622,114,1,K01126,K01126
ko00051,-0.6304347826086953,-0.8273653566229986,0.7346938775510204,0.9351745817896037,111,1,K01813,K01813
ko00520,0.9130434782608696,1.2066076131194636,0.2,0.9876551516683465,148,1,K02779,K02779
ko00500,0.8478260869565217,1.1227427375032715,0.35454545454545455,0.9878788905843493,106,1,K16055,K16055
ko02010,0.9542194494146814,1.557202524251625,0.0,0.9880443880515631,512,3,K10549;K10551;K09810,K10549;K10551
ko00860,0.7777777777777779,1.150884340216787,0.3333333333333333,0.9884596327584539,132,2,K01719;K02233,K01719;K02233
ko02060,0.9130434782608696,1.2290502793296088,0.17272727272727273,0.9888394454640947,71,1,K02779,K02779
ko05111,0.8037668156220854,1.2528981537626145,0.21238938053097345,0.9897575619678327,106,2,K02779;K00640,K02779
ko00010,0.9130434782608696,1.2531009051290647,0.14606741573033707,0.992125403025172,106,1,K02779,K02779
