Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes,genes_list,num_genes
ko00020,,,0.0,1000000000.0,62,55,K15230;K17753;K18118;K01900;K01903;K01958;K01959;K01960;K01902;K01899;K00627;K00658;K00116;K00161;K00162;K00172;K00163;K00164;K00169;K00170;K00171;K00174;K00175;K00176;K00177;K00024;K00026;K00030;K00031;K00382;K00246;K00247;K00245;K00244;K00242;K00234;K00235;K00236;K00237;K00239;K00240;K00241;K01616;K01610;K01596;K01676;K01677;K01678;K01679;K01647;K01648;K01681;K01682;K03737;K05942,K15230;K17753;K18118;K01900;K01903;K01958;K01959;K01960;K01902;K01899;K00627;K00658;K00116;K00161;K00162;K00172;K00163;K00164;K00169;K00170;K00171;K00174;K00175;K00176;K00177;K00024;K00026;K00030;K00031;K00382;K00246;K00247;K00245;K00244;K00242;K00234;K00235;K00236;K00237;K00239;K00240;K00241;K01616;K01610;K01596;K01676;K01677;K01678;K01679;K01647;K01648;K01681;K01682;K03737;K05942,"['K15230', 'K17753', 'K18118', 'K01900', 'K01903', 'K01958', 'K01959', 'K01960', 'K01902', 'K01899', 'K00627', 'K00658', 'K00116', 'K00161', 'K00162', 'K00172', 'K00163', 'K00164', 'K00169', 'K00170', 'K00171', 'K00174', 'K00175', 'K00176', 'K00177', 'K00024', 'K00026', 'K00030', 'K00031', 'K00382', 'K00246', 'K00247', 'K00245', 'K00244', 'K00242', 'K00234', 'K00235', 'K00236', 'K00237', 'K00239', 'K00240', 'K00241', 'K01616', 'K01610', 'K01596', 'K01676', 'K01677', 'K01678', 'K01679', 'K01647', 'K01648', 'K01681', 'K01682', 'K03737', 'K05942']",55
ko00030,,,0.0,1000000000.0,85,72,K13810;K13812;K13831;K15779;K15778;K11645;K11441;K11532;K11529;K15916;K21071;K19813;K22345;K22229;K22199;K17466;K17467;K17468;K17465;K17464;K17463;K16305;K16306;K16370;K18978;K18022;K18125;K18128;K02446;K00616;K00615;K00874;K00850;K00851;K00852;K00918;K00895;K00131;K00117;K00032;K00033;K00034;K00036;K00090;K01619;K01621;K01622;K01623;K01624;K01625;K01835;K01839;K01807;K01808;K01810;K01690;K01783;K01086;K01057;K00948;K01053;K07404;K08093;K08094;K04041;K05308;K03841;K03738;K06859;K05774;K06151;K06152,K13810;K13812;K13831;K15779;K15778;K11645;K11441;K11532;K11529;K15916;K21071;K19813;K22345;K22229;K22199;K17466;K17467;K17468;K17465;K17464;K17463;K16305;K16306;K16370;K18978;K18022;K18125;K18128;K02446;K00616;K00615;K00874;K00850;K00851;K00852;K00918;K00895;K00131;K00117;K00032;K00033;K00034;K00036;K00090;K01619;K01621;K01622;K01623;K01624;K01625;K01835;K01839;K01807;K01808;K01810;K01690;K01783;K01086;K01057;K00948;K01053;K07404;K08093;K08094;K04041;K05308;K03841;K03738;K06859;K05774;K06151;K06152,"['K13810', 'K13812', 'K13831', 'K15779', 'K15778', 'K11645', 'K11441', 'K11532', 'K11529', 'K15916', 'K21071', 'K19813', 'K22345', 'K22229', 'K22199', 'K17466', 'K17467', 'K17468', 'K17465', 'K17464', 'K17463', 'K16305', 'K16306', 'K16370', 'K18978', 'K18022', 'K18125', 'K18128', 'K02446', 'K00616', 'K00615', 'K00874', 'K00850', 'K00851', 'K00852', 'K00918', 'K00895', 'K00131', 'K00117', 'K00032', 'K00033', 'K00034', 'K00036', 'K00090', 'K01619', 'K01621', 'K01622', 'K01623', 'K01624', 'K01625', 'K01835', 'K01839', 'K01807', 'K01808', 'K01810', 'K01690', 'K01783', 'K01086', 'K01057', 'K00948', 'K01053', 'K07404', 'K08093', 'K08094', 'K04041', 'K05308', 'K03841', 'K03738', 'K06859', 'K05774', 'K06151', 'K06152']",72
ko00040,,,0.0,1000000000.0,85,68,K13877;K14259;K14273;K14274;K09988;K21030;K19588;K22396;K22397;K22933;K22935;K22994;K21680;K21681;K21619;K22185;K22186;K22187;K17818;K17738;K17743;K16190;K16849;K16850;K18103;K18107;K03077;K03078;K03079;K00594;K00875;K00879;K00880;K00853;K00848;K00854;K00039;K00040;K00041;K00008;K00002;K00007;K00011;K00012;K00065;K01628;K01629;K01818;K01820;K01815;K01804;K01805;K01812;K01728;K01730;K01685;K01686;K01731;K01783;K00963;K01051;K01184;K01195;K08322;K08323;K08092;K05351;K05352,K13877;K14259;K14273;K14274;K09988;K21030;K19588;K22396;K22397;K22933;K22935;K22994;K21680;K21681;K21619;K22185;K22186;K22187;K17818;K17738;K17743;K16190;K16849;K16850;K18103;K18107;K03077;K03078;K03079;K00594;K00875;K00879;K00880;K00853;K00848;K00854;K00039;K00040;K00041;K00008;K00002;K00007;K00011;K00012;K00065;K01628;K01629;K01818;K01820;K01815;K01804;K01805;K01812;K01728;K01730;K01685;K01686;K01731;K01783;K00963;K01051;K01184;K01195;K08322;K08323;K08092;K05351;K05352,"['K13877', 'K14259', 'K14273', 'K14274', 'K09988', 'K21030', 'K19588', 'K22396', 'K22397', 'K22933', 'K22935', 'K22994', 'K21680', 'K21681', 'K21619', 'K22185', 'K22186', 'K22187', 'K17818', 'K17738', 'K17743', 'K16190', 'K16849', 'K16850', 'K18103', 'K18107', 'K03077', 'K03078', 'K03079', 'K00594', 'K00875', 'K00879', 'K00880', 'K00853', 'K00848', 'K00854', 'K00039', 'K00040', 'K00041', 'K00008', 'K00002', 'K00007', 'K00011', 'K00012', 'K00065', 'K01628', 'K01629', 'K01818', 'K01820', 'K01815', 'K01804', 'K01805', 'K01812', 'K01728', 'K01730', 'K01685', 'K01686', 'K01731', 'K01783', 'K00963', 'K01051', 'K01184', 'K01195', 'K08322', 'K08323', 'K08092', 'K05351', 'K05352']",68
ko00051,,,0.0,1000000000.0,111,100,K15778;K15856;K11195;K11196;K12660;K12661;K11645;K11532;K15916;K21071;K19633;K19956;K22252;K21883;K17497;K17195;K17742;K16011;K16305;K16306;K16881;K16370;K19029;K19030;K19270;K19290;K19291;K19355;K18336;K18333;K18334;K18335;K18337;K18338;K18339;K02446;K02377;K03332;K02813;K02793;K02794;K02795;K02796;K02798;K02800;K02770;K02768;K02769;K02771;K02781;K02782;K02783;K02812;K02814;K02815;K00594;K00879;K00881;K00882;K00863;K00846;K00847;K00848;K00850;K00844;K00895;K00900;K00008;K00007;K00009;K00011;K00045;K00068;K00064;K00066;K01622;K01623;K01624;K01628;K01629;K01818;K01820;K01840;K01803;K01813;K01805;K01808;K01809;K01711;K01729;K01086;K00971;K00966;K01218;K07046;K07026;K08261;K04041;K05305;K03841,K15778;K15856;K11195;K11196;K12660;K12661;K11645;K11532;K15916;K21071;K19633;K19956;K22252;K21883;K17497;K17195;K17742;K16011;K16305;K16306;K16881;K16370;K19029;K19030;K19270;K19290;K19291;K19355;K18336;K18333;K18334;K18335;K18337;K18338;K18339;K02446;K02377;K03332;K02813;K02793;K02794;K02795;K02796;K02798;K02800;K02770;K02768;K02769;K02771;K02781;K02782;K02783;K02812;K02814;K02815;K00594;K00879;K00881;K00882;K00863;K00846;K00847;K00848;K00850;K00844;K00895;K00900;K00008;K00007;K00009;K00011;K00045;K00068;K00064;K00066;K01622;K01623;K01624;K01628;K01629;K01818;K01820;K01840;K01803;K01813;K01805;K01808;K01809;K01711;K01729;K01086;K00971;K00966;K01218;K07046;K07026;K08261;K04041;K05305;K03841,"['K15778', 'K15856', 'K11195', 'K11196', 'K12660', 'K12661', 'K11645', 'K11532', 'K15916', 'K21071', 'K19633', 'K19956', 'K22252', 'K21883', 'K17497', 'K17195', 'K17742', 'K16011', 'K16305', 'K16306', 'K16881', 'K16370', 'K19029', 'K19030', 'K19270', 'K19290', 'K19291', 'K19355', 'K18336', 'K18333', 'K18334', 'K18335', 'K18337', 'K18338', 'K18339', 'K02446', 'K02377', 'K03332', 'K02813', 'K02793', 'K02794', 'K02795', 'K02796', 'K02798', 'K02800', 'K02770', 'K02768', 'K02769', 'K02771', 'K02781', 'K02782', 'K02783', 'K02812', 'K02814', 'K02815', 'K00594', 'K00879', 'K00881', 'K00882', 'K00863', 'K00846', 'K00847', 'K00848', 'K00850', 'K00844', 'K00895', 'K00900', 'K00008', 'K00007', 'K00009', 'K00011', 'K00045', 'K00068', 'K00064', 'K00066', 'K01622', 'K01623', 'K01624', 'K01628', 'K01629', 'K01818', 'K01820', 'K01840', 'K01803', 'K01813', 'K01805', 'K01808', 'K01809', 'K01711', 'K01729', 'K01086', 'K00971', 'K00966', 'K01218', 'K07046', 'K07026', 'K08261', 'K04041', 'K05305', 'K03841']",100
ko00052,,,0.0,1000000000.0,78,57,K15779;K15778;K10984;K10985;K10986;K12308;K12111;K12112;K21071;K21622;K21620;K21621;K22215;K17716;K16370;K16371;K18125;K02744;K02745;K02746;K02747;K02080;K02079;K02788;K02786;K02773;K02774;K02775;K00883;K00849;K00850;K00844;K00917;K00845;K00035;K00011;K00094;K01631;K01635;K01819;K01835;K01854;K01684;K01785;K01784;K00963;K00965;K01182;K01220;K01187;K01190;K01193;K07406;K07407;K08302;K05308;K04618,K15779;K15778;K10984;K10985;K10986;K12308;K12111;K12112;K21071;K21622;K21620;K21621;K22215;K17716;K16370;K16371;K18125;K02744;K02745;K02746;K02747;K02080;K02079;K02788;K02786;K02773;K02774;K02775;K00883;K00849;K00850;K00844;K00917;K00845;K00035;K00011;K00094;K01631;K01635;K01819;K01835;K01854;K01684;K01785;K01784;K00963;K00965;K01182;K01220;K01187;K01190;K01193;K07406;K07407;K08302;K05308;K04618,"['K15779', 'K15778', 'K10984', 'K10985', 'K10986', 'K12308', 'K12111', 'K12112', 'K21071', 'K21622', 'K21620', 'K21621', 'K22215', 'K17716', 'K16370', 'K16371', 'K18125', 'K02744', 'K02745', 'K02746', 'K02747', 'K02080', 'K02079', 'K02788', 'K02786', 'K02773', 'K02774', 'K02775', 'K00883', 'K00849', 'K00850', 'K00844', 'K00917', 'K00845', 'K00035', 'K00011', 'K00094', 'K01631', 'K01635', 'K01819', 'K01835', 'K01854', 'K01684', 'K01785', 'K01784', 'K00963', 'K00965', 'K01182', 'K01220', 'K01187', 'K01190', 'K01193', 'K07406', 'K07407', 'K08302', 'K05308', 'K04618']",57
ko00053,,,0.0,1000000000.0,61,39,K13877;K13876;K13875;K13873;K13874;K14259;K19588;K20023;K23007;K23005;K23004;K23003;K16190;K18981;K18983;K03475;K03476;K02821;K02822;K03077;K03078;K03079;K00880;K00107;K00128;K00002;K00012;K00062;K00063;K00064;K01630;K01683;K01708;K01707;K01706;K01053;K01195;K08092;K08679,K13877;K13876;K13875;K13873;K13874;K14259;K19588;K20023;K23007;K23005;K23004;K23003;K16190;K18981;K18983;K03475;K03476;K02821;K02822;K03077;K03078;K03079;K00880;K00107;K00128;K00002;K00012;K00062;K00063;K00064;K01630;K01683;K01708;K01707;K01706;K01053;K01195;K08092;K08679,"['K13877', 'K13876', 'K13875', 'K13873', 'K13874', 'K14259', 'K19588', 'K20023', 'K23007', 'K23005', 'K23004', 'K23003', 'K16190', 'K18981', 'K18983', 'K03475', 'K03476', 'K02821', 'K02822', 'K03077', 'K03078', 'K03079', 'K00880', 'K00107', 'K00128', 'K00002', 'K00012', 'K00062', 'K00063', 'K00064', 'K01630', 'K01683', 'K01708', 'K01707', 'K01706', 'K01053', 'K01195', 'K08092', 'K08679']",39
ko00061,,,0.0,1000000000.0,39,30,K10780;K11263;K11262;K11533;K22541;K16363;K18660;K18474;K18473;K18472;K02372;K02371;K01963;K01961;K01962;K02160;K00645;K00647;K00648;K00667;K00668;K01897;K00208;K00209;K00059;K01716;K01071;K07512;K09458;K03921,K10780;K11263;K11262;K11533;K22541;K16363;K18660;K18474;K18473;K18472;K02372;K02371;K01963;K01961;K01962;K02160;K00645;K00647;K00648;K00667;K00668;K01897;K00208;K00209;K00059;K01716;K01071;K07512;K09458;K03921,"['K10780', 'K11263', 'K11262', 'K11533', 'K22541', 'K16363', 'K18660', 'K18474', 'K18473', 'K18472', 'K02372', 'K02371', 'K01963', 'K01961', 'K01962', 'K02160', 'K00645', 'K00647', 'K00648', 'K00667', 'K00668', 'K01897', 'K00208', 'K00209', 'K00059', 'K01716', 'K01071', 'K07512', 'K09458', 'K03921']",30
ko00062,,,0.0,1000000000.0,24,10,K10703;K10258;K10251;K10246;K10245;K00022;K01068;K07508;K07511;K07512,K10703;K10258;K10251;K10246;K10245;K00022;K01068;K07508;K07511;K07512,"['K10703', 'K10258', 'K10251', 'K10246', 'K10245', 'K00022', 'K01068', 'K07508', 'K07511', 'K07512']",10
ko00071,,,0.0,1000000000.0,58,31,K13953;K13954;K13767;K14338;K13239;K01909;K00626;K00632;K00529;K00496;K01897;K00121;K00128;K00022;K00001;K00248;K00249;K00252;K00255;K00232;K01825;K01692;K01782;K07508;K07511;K07513;K07516;K04072;K05297;K06445;K05939,K13953;K13954;K13767;K14338;K13239;K01909;K00626;K00632;K00529;K00496;K01897;K00121;K00128;K00022;K00001;K00248;K00249;K00252;K00255;K00232;K01825;K01692;K01782;K07508;K07511;K07513;K07516;K04072;K05297;K06445;K05939,"['K13953', 'K13954', 'K13767', 'K14338', 'K13239', 'K01909', 'K00626', 'K00632', 'K00529', 'K00496', 'K01897', 'K00121', 'K00128', 'K00022', 'K00001', 'K00248', 'K00249', 'K00252', 'K00255', 'K00232', 'K01825', 'K01692', 'K01782', 'K07508', 'K07511', 'K07513', 'K07516', 'K04072', 'K05297', 'K06445', 'K05939']",31
ko00072,,,0.0,1000000000.0,8,8,K00626;K00019;K01640;K01641;K01574;K01029;K01028;K01027,K00626;K00019;K01640;K01641;K01574;K01029;K01028;K01027,"['K00626', 'K00019', 'K01640', 'K01641', 'K01574', 'K01029', 'K01028', 'K01027']",8
